PICARDIE;ABBEVILLE;10184;REX;26 PLACE CLEMENCEAU;;ABBEVILLE;80100
ILE-DE-FRANCE;ACHERES;10992;PANDORA;6 ALLEE SIMONE SIGNORET;;ACHERES;78260
BRETAGNE;ACIGNE;11101;LE FOYER;RUE NDU STADE;;ACIGNE;35690
LANGUEDOC-ROUSSILLON;AGDE;11527;TRAVELLING;FORUM JEAN ROGER;RUE BRESCOU;AGDE;34300
AQUITAINE;AGEN;11565;CENTRE CULTUREL LEDRU ROLLIN;10, RUE LEDRU ROLLIN;;AGEN;47000
AQUITAINE;AGEN;11581; CARNOT;78 CARNOT;;AGEN;47000
BASSE-NORMANDIE;AGON-COUTAINVILLE;11854;CINEMA DE L'ESPACE;AVENUE ROOSEVELT;;AGON COUTAINVILLE;50230
RHONE-ALPES;AIGUEBLANCHE;12401;STUDIO;VALMOREL;;AIGUEBLANCHE;73260
LANGUEDOC-ROUSSILLON;AIGUES-MORTES;12454;CINEMA MARCEL PAGNOL;9 RUE VICTOR HUGO;;AIGUES MORTES;30220
AQUITAINE;AIGUILLON;12562;THEOPHILE DE VIAU;PLACE DE LA MAIRIE;;AIGUILLON;47190
CENTRE;AIGURANDE;12612;CINEMA MODERNE;CHEMIN DU CINEMA;;AIGURANDE;36140
AQUITAINE;AIRE-SUR-L ADOUR;13151;GALAXIE;16 AV DES PYRENEES;;AIRE SUR L ADOUR;40800
NORD-PAS-DE-CALAIS;AIRE-SUR-LA-LYS;13161;ESPACE CULTUREL AREA (EX-ESPACE CULTUREL);6 PLACE DU CHATEAU;;AIRE-SUR-LA-LYS;62120
PROVENCE-ALPES-COTE D'AZUR;AIX-EN-PROVENCE;13405;RENOIR;24 COURS MIRABEAU;;AIX EN PROVENCE;13100
PROVENCE-ALPES-COTE D'AZUR;AIX-EN-PROVENCE;13413;CEZANNE;1 RUE MARCEL GUILLAUME;;AIX EN PROVENCE;13100
PROVENCE-ALPES-COTE D'AZUR;AIX-EN-PROVENCE;13423;LE MAZARIN;3TER RUE MAZARINE - 6 RUE LAROQU;;AIX EN PROVENCE;13100
PROVENCE-ALPES-COTE D'AZUR;AIX-EN-PROVENCE;13454;ARMAND LUNEL;RUE DES ALLUMETTES;;AIX EN PROVENCE;13100
RHONE-ALPES;AIX-LES-BAINS;13513;VICTORIA;36 AV VICTORIA;;AIX LES BAINS;73100
RHONE-ALPES;AIX-LES-BAINS;720800;LES TOILES DU LAC;14 RUE DANIEL ROPS;;AIX LES BAINS;73100
PAYS-DE-LA-LOIRE;AIZENAY;13621;SALLE JEANNE D ARC;AV DE VERDUN;;AIZENAY;85190
CORSE;AJACCIO;13672;CINEMA LAETITIA;24 COURS NAPOLEON;;AJACCIO;20000
CORSE;AJACCIO;13675;EMPIRE;30 COURS NAPOLEON;;AJACCIO;20000
CORSE;AJACCIO;13683;ESPACE CULTUREL MUNICIPAL;BOULEVARD PASCAL ROSSINI;;AJACCIO;20000
CORSE;AJACCIO;13684;AUDITORIUM PASCAL PAOLI;PALAIS DES CONGRES EXPOSITIONS;QUAI L HERMINIER BP 253;AJACCIO;20000
CORSE;AJACCIO;13685;ESPACE DIAMANT;BOULEVARD PASCAL ROSSIMI;;AJACCIO;20304
PICARDIE;ALBERT;14033;LE FORUM;29 RUE DE BOULAN;;ALBERT;80300
RHONE-ALPES;ALBERTVILLE;14071;ROYAL;12 RUE GAMBETTA;;ALBERTVILLE;73200
RHONE-ALPES;ALBERTVILLE;14073;LE DOME;135 PLACE DE L EUROPE;CENTRE CULTUREL LE DOME CINEMA;ALBERTVILLE;73200
MIDI-PYRENEES;ALBI;14102;CINEMOVIDA LAPEROUSE;60 RUE SERE DE RIVIERES;;ALBI;81000
MIDI-PYRENEES;ALBI;14114;SALLE MANUEL JOSE ARCE;P. DE L'AMITIE ENTRE LES PEUPLES;;ALBI;81000
MIDI-PYRENEES;ALBI;14121;TIVOLI;2 RUE PIERRE GILLES;;ALBI;81000
RHONE-ALPES;ALBIEZ-MONTROND;14222;CASSE MASSION;LA RUA;;ALBIEZ MONTROND;73300
BASSE-NORMANDIE;ALENCON;14421;NORMANDY;20 GRANDE RUE/6 RUE DES CARREAUX;;ALENCON;61000
LANGUEDOC-ROUSSILLON;ALES;14521;ARCADES;10 PLACE GABRIEL PERI;;ALES;30100
LANGUEDOC-ROUSSILLON;ALES;14531;ARCADES BIS;8 RUE MANDAJORS;;ALES;30100
RHONE-ALPES;ALLEVARD;15374;BEL' DONNE;PLACE DE VERDUN;;ALLEVARD;38580
PAYS-DE-LA-LOIRE;ALLONNES;15682;SALLE POLYVALENTE;SALLE POLYVALENTE;;ALLONNES;72700
PROVENCE-ALPES-COTE D'AZUR;ALLOS;15741;CINEMA DE L AIGUILLE;RESIDENCE DE L AIGUILLE;;ALLOS;04260
ALSACE;ALTKIRCH;16081;PALACE LUMIERE;2, BOULEVARD CLMENCEAU;;ALTKIRCH;68130
AQUITAINE;AMBARES-ET-LAGRAVE;16441;EVASION;PLACE DE LA REPUBLIQUE;;AMBARES ET LAGRAVE;33440
RHONE-ALPES;AMBERIEU EN BUGEY;720500;CINE FESTIVAL;3 AVENUE DE VERDUN;;AMBERIEU EN BUGEY;01500
AUVERGNE;AMBERT;16573;LA FACADE 1;RUE BLAISE PASCAL;;AMBERT;63600
CENTRE;AMBOISE;16803;CINEA;3 PLACE ST DENIS;;AMBOISE;37400
LANGUEDOC-ROUSSILLON;AMELIE-LES-BAINS-PALALDA;17082;CASINO MUNICIPAL;4 AVENUE DU DOCTEUR BOUIX;;AMELIE LES BAINS PALALDA;66110
PICARDIE;AMIENS;17303;STUDIO ORSON WELLES (EX-PETIT THEATRE);2 PLACE LEON GONTIER;;AMIENS;80000
PICARDIE;AMIENS;17325;CINE SAINT LEU;5-9 RUE DE LA PLUMETTE;;AMIENS;80000
PICARDIE;AMIENS;17326;GAUMONT;5 BOULEVARD DE BELFORT;;AMIENS;80000
LORRAINE;AMNEVILLE;17545;GAUMONT;CENTRE THERMAL ET TOURISTIQUE;RUE DE L'EUROPE;AMNEVILLE;57360
PAYS-DE-LA-LOIRE;ANCENIS;17802;EDEN;67 RUE ST FIACRE;;ANCENIS;44150
AQUITAINE;ANDERNOS-LES-BAINS;18322;REX;202 BIS BD DE LA REPUBLIQUE;;ANDERNOS LES BAINS;33510
CENTRE;ANET;18701;NORMANDIE;6 RUE DESIRE ROUSSEL;;ANET;28260
PAYS-DE-LA-LOIRE;ANGERS;18802;GAUMONT VARIETES;34/44 BOULEVARD DU MARECHAL FOCH;;ANGERS;49000
PAYS-DE-LA-LOIRE;ANGERS;18861;LES 400 COUPS;12 RUE CLAVEAU;;ANGERS;49000
PAYS-DE-LA-LOIRE;ANGERS;18866;GAUMONT;ZAC SAINT SERGE;AVENUE DES DROITS DE L'HOMME;ANGERS;49000
AQUITAINE;ANGLET;19325;MONCINE;AVENUE DES BARTHES;;ANGLET;64600
POITOU-CHARENTES;ANGOULEME;19464;CITE INTERN DE LA BANDE DESSINEE ET DE L'IMAGE (EX-CNBDI);121 ROUTE DE BORDEAUX;;ANGOULEME;16000
POITOU-CHARENTES;ANGOULEME;19491;MEGA CGR;30 RUE SAINT- ROCH;;ANGOULEME;16000
NORD-PAS-DE-CALAIS;ANICHE;19702;IDEAL CINEMA;10 RUE EMILE VAMBROUK;;ANICHE;59580
RHONE-ALPES;ANNECY;19901;DECAVISION;"AV. DE BROGNY - ZAC ""COURIER""";;ANNECY;74000
RHONE-ALPES;ANNECY;19941;NEMOURS;22 RUE STE CLAIRE;;ANNECY;74000
RHONE-ALPES;ANNECY;19945;CINEMA MJC NOVEL;PLACE ANNAPURNA;;ANNECY;74000
RHONE-ALPES;ANNECY;19951;ESPACE 300;1 RUE JEAN JAURES;;ANNECY;74000
RHONE-ALPES;ANNEMASSE;19983;CINE ACTUEL MJC;3 RUE DU 8 MAI;;ANNEMASSE;74100
RHONE-ALPES;ANNEMASSE;19984;SALEVE;LE CLOS FLEURY;;ANNEMASSE;74100
RHONE-ALPES;ANNONAY;20203;NACELLES;BD DE L EUROPE;;ANNONAY;07100
BOURGOGNE;ANOST;20311;SALLE DE CINEMA;LE BOURG;;ANOST;71550
PROVENCE-ALPES-COTE D'AZUR;ANTIBES;20672;CASINO;6 ET 8 BD DU 24 AOUT;;ANTIBES;06600
ILE-DE-FRANCE;ANTONY;20931;SELECT CINEMA LOUIS DAQUIN;10 AV DIVISION LECLERC;;ANTONY;92160
PROVENCE-ALPES-COTE D'AZUR;APT;21532;CESAR;RUE SCUDERY;;APT;84400
RHONE-ALPES;ARACHES;21571;LE CHOUCA;LA FRASSE;;CLUSES;74300
MIDI-PYRENEES;ARAGNOUET;233741;ESPACE ANIMATION;LE FORUM;;LOUDENVIELLE;65510
AQUITAINE;ARCACHON;22051;GRAND ECRAN;9 BIS AVENUE GAMBETTA;;ARCACHON;33120
RHONE-ALPES;ARCHAMPS;22231;GAUMONT;PARC D'ACTIVITES DU GENEVOIS;;ARCHAMPS;74160
ILE-DE-FRANCE;ARCUEIL;22634;JEAN VILAR;1 RUE PAUL SIGNAC;;ARCUEIL;94110
ILE-DE-FRANCE;ARCUEIL;22636;MEGARAMA 1;8 AVENUE SALVADOR ALLENDE;;ARCUEIL;94110
MIDI-PYRENEES;ARGELES-GAZOST;23131;CASINO;2 PLACE DESPOURRINS;;ARGELES GAZOST;65400
LANGUEDOC-ROUSSILLON;ARGELES-SUR-MER;23094;VOX;8 BD DU CANIGOU;;ARGELES SUR MER;66700
LANGUEDOC-ROUSSILLON;ARGELES-SUR-MER;23102;CINEMA JAURES;RUE JEAN JAURES;;ARGELES SUR MER;66700
BASSE-NORMANDIE;ARGENTAN;23241;NORMANDY;13 RUE MEHEUDIN;;ARGENTAN;61200
LIMOUSIN;ARGENTAT;23262;LE TURENNE;AVENUE  POINCARE;;ARGENTAT;19400
